,Id,City,lat,lon,temperature,clear_weather
0,156094680,Mont Saint Michel,48.6359541,-1.511459954959514,16.17,1.0
1,297756747,St Malo,48.649518,-2.0260409,16.19142857142857,0.7142857142857143
2,297981358,Bayeux,49.2764624,-0.7024738,16.740000000000002,1.2857142857142858
3,298137491,Le Havre,49.4938975,0.1079732,16.251428571428573,4.142857142857143
4,297518815,Rouen,49.4404591,1.0939658,17.388571428571428,3.857142857142857
5,297417241,Paris,48.8588897,2.3200410217200766,17.36,3.0
6,297534793,Amiens,49.8941708,2.2956951,16.26,0.14285714285714285
7,297472400,Lille,50.6365654,3.0635282,16.537142857142857,1.7142857142857142
8,297508568,Strasbourg,48.584614,7.7507127,17.812857142857144,27.857142857142858
9,120791766,Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,15.484285714285715,35.42857142857143
10,297504747,Colmar,48.0777517,7.3579641,18.419999999999998,33.285714285714285
11,297869324,Eguisheim,48.0447968,7.3079618,18.558571428571426,33.0
12,297668227,Besancon,47.2380222,6.0243622,18.37,15.714285714285714
13,297478568,Dijon,47.3215806,5.0414701,18.32857142857143,22.428571428571427
14,298516920,Annecy,45.8992348,6.1288847,20.325714285714287,20.571428571428573
15,297639071,Grenoble,45.1875602,5.7357819,23.502857142857142,31.285714285714285
16,297681191,Lyon,45.7578137,4.8320114,22.065714285714286,14.428571428571429
17,76036307,Gorges du Verdon,43.7496562,6.3285616,18.80857142857143,49.42857142857143
18,297749145,Bormes les Mimosas,43.1506968,6.3419285,21.56714285714286,41.0
19,298072685,Cassis,43.2140359,5.5396318,22.09285714285714,51.57142857142857
20,297763730,Marseille,43.2961743,5.3699525,22.01,52.57142857142857
21,297906924,Aix en Provence,43.5298424,5.4474738,22.998571428571427,54.142857142857146
22,297768703,Avignon,43.9492493,4.8059012,24.36,24.142857142857142
23,297655586,Uzes,44.0121279,4.4196718,23.091428571428573,15.714285714285714
24,297997049,Nimes,43.8374249,4.3600687,23.181428571428572,16.0
25,298018344,Aigues Mortes,43.5658225,4.1912837,21.487142857142857,17.857142857142858
26,298011281,Saintes Maries de la mer,43.4522771,4.4287172,20.992857142857144,18.428571428571427
27,298221742,Collioure,42.52505,3.0831554,22.81,25.0
28,297466626,Carcassonne,43.2130358,2.3491069,22.867142857142856,32.42857142857143
29,297389050,Ariege,42.9455368,1.4065544156065486,16.852857142857143,37.714285714285715
30,298222566,Toulouse,43.6044622,1.4442469,23.004285714285714,37.57142857142857
31,297932490,Montauban,44.0175835,1.3549991,22.815714285714286,27.857142857142858
32,298516909,Biarritz,43.471143749999996,-1.552726590666314,21.304285714285715,44.142857142857146
33,298271847,Bayonne,43.4945144,-1.4736657,21.987142857142857,37.285714285714285
34,297653650,La Rochelle,46.1591126,-1.1520434,18.475714285714286,1.7142857142857142
